,geneProtein_label,therapy_label,disease_label,drug_label,NDCCode_label,combinationDrug_label,negGeProDr_label,firstLine,acceleratedApproval,acceleratedApprovalRate,metastatic
257,*,Everolimus,Renal cell carcinoma,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",,sunitinib,,,,
258,*,Everolimus,Pancreatic cancer,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",,,,,,
259,*,Everolimus,lung cancer,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",,,,,,
260,*,Everolimus,Breast cancer,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",exemestane,letrozole,,,,
261,*,Everolimus,Breast cancer,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",,,,,,
262,*,Everolimus,Breast cancer,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",,sunitinib,,,,
263,*,Everolimus,Subependymal giant cell astrocytoma,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",exemestane,letrozole,,,,
264,*,Everolimus,Subependymal giant cell astrocytoma,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",,,,,,
265,*,Everolimus,Subependymal giant cell astrocytoma,EVEROLIMUS tablet,"49884-119-52, 49884-119-91, 49884-125-52, 49884-125-91, 49884-127-52, 49884-127-91",,sunitinib,,,,
266,*,Everolimus,gastrointestinal cancer,EVEROLIMUS tablet,"0093-7766-19, 0093-7766-24, 0093-7767-19, 0093-7767-24, 0093-7768-19, 0093-7768-24",,,,,,
267,sunitinib,Everolimus,Renal cell carcinoma,EVEROLIMUS tablet,"0093-7766-19, 0093-7766-24, 0093-7767-19, 0093-7767-24, 0093-7768-19, 0093-7768-24",,sunitinib,,,,
268,*,Everolimus,Pancreatic cancer,EVEROLIMUS tablet,"0093-7766-19, 0093-7766-24, 0093-7767-19, 0093-7767-24, 0093-7768-19, 0093-7768-24",,,,,,
269,*,Everolimus,lung cancer,EVEROLIMUS tablet,"0093-7766-19, 0093-7766-24, 0093-7767-19, 0093-7767-24, 0093-7768-19, 0093-7768-24",,,,,,
270,*,Everolimus,Breast cancer,EVEROLIMUS tablet,"0093-7766-19, 0093-7766-24, 0093-7767-19, 0093-7767-24, 0093-7768-19, 0093-7768-24",exemestane,letrozole,,,,
271,*,Everolimus,Subependymal giant cell astrocytoma,EVEROLIMUS tablet,"0093-7766-19, 0093-7766-24, 0093-7767-19, 0093-7767-24, 0093-7768-19, 0093-7768-24",,,,,,
272,*,Everolimus,gastrointestinal cancer,AFINITOR- everolimus tablet,"0078-0566-51, 0078-0566-61, 0078-0567-51, 0078-0567-61, 0078-0594-51, 0078-0594-61, 0078-0620-51, 0078-0620-61, 0078-0626-51, 0078-0626-61, 0078-0627-51, 0078-0627-61, 0078-0628-51, 0078-0628-61",,,,,,
273,*,Everolimus,Renal cell carcinoma,AFINITOR- everolimus tablet,"0078-0566-51, 0078-0566-61, 0078-0567-51, 0078-0567-61, 0078-0594-51, 0078-0594-61, 0078-0620-51, 0078-0620-61, 0078-0626-51, 0078-0626-61, 0078-0627-51, 0078-0627-61, 0078-0628-51, 0078-0628-61",,sunitinib,,,,
274,*,Everolimus,Pancreatic cancer,AFINITOR- everolimus tablet,"0078-0566-51, 0078-0566-61, 0078-0567-51, 0078-0567-61, 0078-0594-51, 0078-0594-61, 0078-0620-51, 0078-0620-61, 0078-0626-51, 0078-0626-61, 0078-0627-51, 0078-0627-61, 0078-0628-51, 0078-0628-61",,,,,,
275,*,Everolimus,lung cancer,AFINITOR- everolimus tablet,"0078-0566-51, 0078-0566-61, 0078-0567-51, 0078-0567-61, 0078-0594-51, 0078-0594-61, 0078-0620-51, 0078-0620-61, 0078-0626-51, 0078-0626-61, 0078-0627-51, 0078-0627-61, 0078-0628-51, 0078-0628-61",,,,,,
276,*,Everolimus,Breast cancer,AFINITOR- everolimus tablet,"0078-0566-51, 0078-0566-61, 0078-0567-51, 0078-0567-61, 0078-0594-51, 0078-0594-61, 0078-0620-51, 0078-0620-61, 0078-0626-51, 0078-0626-61, 0078-0627-51, 0078-0627-61, 0078-0628-51, 0078-0628-61",exemestane,letrozole,,,,
277,*,Everolimus,Subependymal giant cell astrocytoma,AFINITOR- everolimus tablet,"0078-0566-51, 0078-0566-61, 0078-0567-51, 0078-0567-61, 0078-0594-51, 0078-0594-61, 0078-0620-51, 0078-0620-61, 0078-0626-51, 0078-0626-61, 0078-0627-51, 0078-0627-61, 0078-0628-51, 0078-0628-61",,,,,,
278,*,Everolimus,gastrointestinal cancer,ZORTRESS- everolimus tablet,"0078-0414-20, 0078-0414-61, 0078-0415-20, 0078-0415-61, 0078-0417-20, 0078-0417-61, 0078-0422-20, 0078-0422-61",,,,,,
279,*,Everolimus,Renal cell carcinoma,ZORTRESS- everolimus tablet,"0078-0414-20, 0078-0414-61, 0078-0415-20, 0078-0415-61, 0078-0417-20, 0078-0417-61, 0078-0422-20, 0078-0422-61",,,,,,
280,*,Everolimus,Pancreatic cancer,ZORTRESS- everolimus tablet,"0078-0414-20, 0078-0414-61, 0078-0415-20, 0078-0415-61, 0078-0417-20, 0078-0417-61, 0078-0422-20, 0078-0422-61",,,,,,
281,*,Everolimus,lung cancer,ZORTRESS- everolimus tablet,"0078-0414-20, 0078-0414-61, 0078-0415-20, 0078-0415-61, 0078-0417-20, 0078-0417-61, 0078-0422-20, 0078-0422-61",,,,,,
282,*,Everolimus,Breast cancer,ZORTRESS- everolimus tablet,"0078-0414-20, 0078-0414-61, 0078-0415-20, 0078-0415-61, 0078-0417-20, 0078-0417-61, 0078-0422-20, 0078-0422-61",,,,,,
283,*,Everolimus,Subependymal giant cell astrocytoma,ZORTRESS- everolimus tablet,"0078-0414-20, 0078-0414-61, 0078-0415-20, 0078-0415-61, 0078-0417-20, 0078-0417-61, 0078-0422-20, 0078-0422-61",,,,,,
284,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,Yes
285,USP,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,Yes
286,*,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,Yes
287,estrogen receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
288,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
289,USP,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
290,*,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
291,estrogen and progesterone receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
292,tamoxifen,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
293,Tamoxifen,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
294,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
295,BOXED WARNING,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,tamoxifen,,,,
296,BRCA1,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
297,BRCA2,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
298,Tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
299,USP,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
300,*,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
301,estrogen receptor,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
302,estrogen and progesterone receptor,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
303,tamoxifen,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
304,Tamoxifen,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
305,tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
306,BOXED WARNING,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,tamoxifen,,,,
307,BRCA1,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
308,BRCA2,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0591-2472-18, 0591-2472-60, 0591-2473-19, 0591-2473-30",,,,,,
309,*,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","59651-299-60, 59651-300-30, 59651-300-90",,,,,,
310,*,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","59651-299-60, 59651-300-30, 59651-300-90",,,,,,
311,*,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","70771-1184-1, 70771-1184-6, 70771-1184-8, 70771-1184-9, 70771-1185-0, 70771-1185-1, 70771-1185-3, 70771-1185-6, 70771-1185-9",,,,,,
312,*,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","70771-1184-1, 70771-1184-6, 70771-1184-8, 70771-1184-9, 70771-1185-0, 70771-1185-1, 70771-1185-3, 70771-1185-6, 70771-1185-9",,,,,,
313,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,Yes
314,*,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,Yes
315,estrogen receptor,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
316,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
317,*,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
318,estrogen and progesterone receptor,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
319,tamoxifen,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
320,Tamoxifen,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
321,BOXED WARNING,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,tamoxifen,,,,
322,BRCA1,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
323,BRCA2,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
324,tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
325,BOXED WARNING,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
326,*,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","51862-446-01, 51862-446-05, 51862-446-10, 51862-446-30, 51862-447-05, 51862-447-10, 51862-447-18, 51862-447-60",,,,,,
327,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,Yes
328,*,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,Yes
329,estrogen receptor,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
330,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
331,*,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
332,estrogen and progesterone receptor,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
333,tamoxifen,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
334,Tamoxifen,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
335,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
336,*,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,tamoxifen,,,,
337,BRCA1,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
338,BRCA2,Tamoxifen Citrate,Breast cancer,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
339,Tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
340,*,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
341,estrogen receptor,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
342,estrogen and progesterone receptor,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
343,tamoxifen,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
344,Tamoxifen,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
345,tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
346,*,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,tamoxifen,,,,
347,BRCA1,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
348,BRCA2,Tamoxifen Citrate,Ductal carcinoma in situ,"TAMOXIFEN CITRATE tablet, film coated","68382-826-01, 68382-826-14, 68382-826-16, 68382-826-28, 68382-827-01, 68382-827-06, 68382-827-10, 68382-827-14, 68382-827-16",,,,,,
349,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,Yes
350,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,Yes
351,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
352,estrogen receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
353,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
354,*,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
355,progesterone-receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
356,tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,tamoxifen citrate,,,,
357,tamoxifen,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
358,BRCA1,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
359,BRCA2,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
360,tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
361,*,Tamoxifen Citrate,Ductal carcinoma in situ,TAMOXIFEN CITRATE tablet,"0378-0144-91, 0378-0274-93",,,,,,
362,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,Yes
363,*,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,Yes
364,estrogen receptor,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
365,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
366,*,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
367,Tamoxifen,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
368,estrogen and progesterone receptor,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
369,tamoxifen,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
370,*,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,tamoxifen,,,,
371,BRCA1,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,tamoxifen,,,,
372,BRCA2,Tamoxifen Citrate,Breast cancer,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,tamoxifen,,,,
373,Tamoxifen citrate,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
374,*,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
375,estrogen receptor,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
376,Tamoxifen,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
377,estrogen and progesterone receptor,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
378,tamoxifen,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,,,,,
379,*,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,tamoxifen,,,,
380,BRCA1,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,tamoxifen,,,,
381,BRCA2,Tamoxifen Citrate,Ductal carcinoma in situ,tamoxifen citrate- Tamoxifen Citrate tablet,"62037-964-18, 62037-964-25, 62037-964-60, 62037-965-12, 62037-965-30, 62037-965-90",,tamoxifen,,,,
382,Tamoxifen citrate,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,50090-0942-0,,,,,,Yes
383,USP,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,50090-0942-0,,,,,,Yes
384,*,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,50090-0942-0,,,,,,Yes
385,estrogen receptor,Tamoxifen Citrate,Breast cancer,TAMOXIFEN CITRATE tablet,50090-0942-0,,,,,,
